country,region,population,area,gdp,life_expect,birth_rate,fertility_rate,death_rate,infant_mortality
French Polynesia,East Asia & Pacific,279287,4000,,77.657,14.427,38.286,5.742,
Gabon,Sub-Saharan Africa,2172579,267670,7767.013404,66.467,30.968,90.9018,6.704,31.1
"Gambia, The",Sub-Saharan Africa,2347706,11300,777.8119321,62.05,38.073,73.2266,7.722,35.9
Georgia,Europe & Central Asia,3720161,69700,4697.983648,73.767,13.2,43.9616,12.791,8.5
Germany,Europe & Central Asia,83092962,357580,46467.5162,80.94146341,9.4,7.6186,11.3,3.2
Ghana,Sub-Saharan Africa,30417856,238540,2202.115567,64.074,28.992,64.9574,7.219,33.9
Greece,Europe & Central Asia,10717169,131960,19580.98833,81.93902439,7.8,6.6522,11.7,3.3
Grenada,Latin America & Caribbean,112003,340,10808.67212,72.397,16.198,27.2106,9.582,14.7
Guam,East Asia & Pacific,167294,540,,80.074,16.46,29.5002,5.273,
Guatemala,Latin America & Caribbean,16604026,108890,4619.985258,74.302,24.21,68.582,4.72,20.7
Guinea,Sub-Saharan Africa,12771246,245860,962.8399086,61.602,35.965,131.436,8.225,63.8
Guinea-Bissau,Sub-Saharan Africa,1920922,36130,697.2949269,58.322,34.559,101.6274,9.434,52.3
Guyana,Latin America & Caribbean,782766,214970,6609.586425,69.906,19.723,71.3544,7.551,24.4
Haiti,Latin America & Caribbean,11263077,27750,1272.490925,64.001,23.959,50.2312,8.448,48.2
Honduras,Latin America & Caribbean,9746117,112490,2574.912191,75.27,21.337,70.7808,4.45,14.5
"Hong Kong SAR, China",East Asia & Pacific,7507400,1110,48713.47375,85.07804878,7,2.5874,6.5,
Hungary,Europe & Central Asia,9771141,93030,16729.78037,76.02195122,9.5,24.5722,13.3,3
Iceland,Europe & Central Asia,360563,103000,67084.08371,82.56097561,12.3,5.5442,6.3,1.6
India,South Asia,1366417754,3287259,2099.599048,69.656,17.644,10.9646,7.265,28.3
Indonesia,East Asia & Pacific,270625568,1916862.2,4135.569263,71.716,17.746,46.4364,6.51,20.2
"Iran, Islamic Rep.",Middle East & North Africa,82913906,1745150,,76.677,18.42,40.7514,4.842,12
Iraq,Middle East & North Africa,39309783,435052,5955.10901,70.604,28.556,71.7502,4.736,21.8
Ireland,Europe & Central Asia,4934040,70280,78778.99477,82.30243902,12.1,6.5982,6.3,2.8
Israel,Middle East & North Africa,9054000,22070,43588.71331,82.80487805,20.1,8.777,5.1,3
Italy,Europe & Central Asia,60302093,302070,33225.64849,83.19756098,7,4.98,10.5,2.7
Jamaica,Latin America & Caribbean,2948279,10990,5582.263778,74.475,15.907,49.8802,7.591,11.9
Japan,East Asia & Pacific,126264931,377974,40246.88013,84.35634146,7,3.5488,11.1,1.8
Jordan,Middle East & North Africa,10101694,89320,4405.488412,74.526,21.477,25.8058,3.889,13.4
Kazakhstan,Europe & Central Asia,18513673,2724902,9812.526588,73.18,21.73,28.978,7.19,9.3
Kenya,Sub-Saharan Africa,52573973,580370,1816.546916,66.699,28.298,73.01,5.393,31.9
Kiribati,East Asia & Pacific,117606,810,1655.078839,68.369,27.453,14.6322,6.28,40.1
"Korea, Dem. People's Rep.",East Asia & Pacific,25666161,120540,,72.274,13.848,0.289,9.205,13.1
"Korea, Rep.",East Asia & Pacific,51709098,100370,31846.21823,83.22682927,5.9,1.2618,5.7,2.7
Kosovo,Europe & Central Asia,1788878,,4430.784947,72.49512195,15.6,,6.9,
Kuwait,Middle East & North Africa,4207083,17820,32000.44847,75.489,13.251,7.5776,2.802,6.8
Kyrgyz Republic,Europe & Central Asia,6456200,199950,1309.53496,71.6,26.9,32.1198,5.2,16.4
Lao PDR,East Asia & Pacific,7169455,236800,2534.89828,67.923,23.117,64.468,6.371,36.4
Latvia,Europe & Central Asia,1913822,64570,17819.27138,75.23902439,9.8,15.4318,14.5,3.1
Lebanon,Middle East & North Africa,6855713,10450,7583.694722,78.93,17.377,13.9476,4.457,6.2
Lesotho,Sub-Saharan Africa,2125268,30360,1118.131284,54.331,26.415,92.43,13.926,68.1
Liberia,Sub-Saharan Africa,4937374,111370,621.8929536,64.104,32.687,135.1704,7.381,62.2
Libya,Middle East & North Africa,6777452,1759540,7685.949267,72.913,18.3,5.6606,5.101,9.9
Lithuania,Europe & Central Asia,2794137,65290,19550.72778,76.13414634,9.8,9.5512,13.7,3
Luxembourg,Europe & Central Asia,620001,2590,114685.1684,82.44634146,10,4.4806,6.9,2.2
"Macao SAR, China",East Asia & Pacific,640445,32.9,84096.39631,84.244,10.894,2.2262,4.018,
Madagascar,Sub-Saharan Africa,26969307,587295,523.3590645,67.041,32.408,105.8848,5.933,36.5
Malawi,Sub-Saharan Africa,18628747,118480,411.5523404,64.263,33.73,131.5186,6.418,30.9
Malaysia,East Asia & Pacific,31949777,330345,11414.20698,76.156,16.608,13.5196,5.17,7.3
Maldives,South Asia,530953,300,10626.5134,78.921,13.584,7.0176,2.764,6.5
